"";"Features";"ID"
"1";"Host Has Profile Pic";16064297
"2";"Host Identity Verified";16064297
"3";"Is Location Exact";16064297
"4";"Requires License";16064297
"5";"Host Has Profile Pic";14495975
"6";"Is Location Exact";14495975
"7";"Requires License";14495975
"8";"Host Has Profile Pic";6394264
"9";"Host Identity Verified";6394264
"10";"Is Location Exact";6394264
"11";"Requires License";6394264
"12";"Host Has Profile Pic";2086594
"13";"Host Identity Verified";2086594
"14";"Is Location Exact";2086594
"15";"Requires License";2086594
"16";"Host Has Profile Pic";13759991
"17";"Host Identity Verified";13759991
"18";"Is Location Exact";13759991
"19";"Requires License";13759991
"20";"Host Is Superhost";16490785
"21";"Host Has Profile Pic";16490785
"22";"Host Identity Verified";16490785
"23";"Is Location Exact";16490785
"24";"Requires License";16490785
"25";"Instant Bookable";16490785
"26";"Host Is Superhost";4949149
"27";"Host Has Profile Pic";4949149
"28";"Host Identity Verified";4949149
"29";"Is Location Exact";4949149
"30";"Requires License";4949149
"31";"Host Has Profile Pic";9639826
"32";"Host Identity Verified";9639826
"33";"Requires License";9639826
"34";"Host Has Profile Pic";13647790
"35";"Host Identity Verified";13647790
"36";"Requires License";13647790
"37";"Host Has Profile Pic";9644304
"38";"Host Identity Verified";9644304
"39";"Is Location Exact";9644304
"40";"Requires License";9644304
"41";"Host Has Profile Pic";8217147
"42";"Host Identity Verified";8217147
"43";"Is Location Exact";8217147
"44";"Requires License";8217147
"45";"Host Has Profile Pic";16094640
"46";"Host Identity Verified";16094640
"47";"Is Location Exact";16094640
"48";"Requires License";16094640
"49";"Host Has Profile Pic";1560768
"50";"Is Location Exact";1560768
"51";"Requires License";1560768
"52";"Host Is Superhost";7472261
"53";"Host Has Profile Pic";7472261
"54";"Host Identity Verified";7472261
"55";"Is Location Exact";7472261
"56";"Requires License";7472261
"57";"Host Has Profile Pic";9850462
"58";"Host Identity Verified";9850462
"59";"Is Location Exact";9850462
"60";"Requires License";9850462
"61";"Instant Bookable";9850462
"62";"Host Has Profile Pic";16484795
"63";"Requires License";16484795
"64";"Host Has Profile Pic";17701307
"65";"Host Identity Verified";17701307
"66";"Is Location Exact";17701307
"67";"Requires License";17701307
"68";"Host Is Superhost";3659946
"69";"Host Has Profile Pic";3659946
"70";"Host Identity Verified";3659946
"71";"Is Location Exact";3659946
"72";"Requires License";3659946
"73";"Host Has Profile Pic";6485459
"74";"Host Identity Verified";6485459
"75";"Is Location Exact";6485459
"76";"Requires License";6485459
"77";"Host Has Profile Pic";12487596
"78";"Host Identity Verified";12487596
"79";"Is Location Exact";12487596
"80";"Requires License";12487596
"81";"Instant Bookable";12487596
"82";"Host Has Profile Pic";17259719
"83";"Host Identity Verified";17259719
"84";"Is Location Exact";17259719
"85";"Requires License";17259719
"86";"Host Has Profile Pic";9463116
"87";"Host Identity Verified";9463116
"88";"Is Location Exact";9463116
"89";"Requires License";9463116
"90";"Host Has Profile Pic";17354958
"91";"Host Identity Verified";17354958
"92";"Is Location Exact";17354958
"93";"Requires License";17354958
"94";"Instant Bookable";17354958
"95";"Host Has Profile Pic";8984546
"96";"Host Identity Verified";8984546
"97";"Is Location Exact";8984546
"98";"Requires License";8984546
"99";"Host Has Profile Pic";13844318
"100";"Requires License";13844318
"101";"Host Has Profile Pic";8216827
"102";"Host Identity Verified";8216827
"103";"Is Location Exact";8216827
"104";"Requires License";8216827
"105";"Host Has Profile Pic";9017416
"106";"Host Identity Verified";9017416
"107";"Is Location Exact";9017416
"108";"Requires License";9017416
"109";"Host Has Profile Pic";10682512
"110";"Is Location Exact";10682512
"111";"Requires License";10682512
"112";"Instant Bookable";10682512
"113";"Host Has Profile Pic";5999942
"114";"Host Identity Verified";5999942
"115";"Is Location Exact";5999942
"116";"Requires License";5999942
"117";"Host Has Profile Pic";6119334
"118";"Host Identity Verified";6119334
"119";"Is Location Exact";6119334
"120";"Requires License";6119334
"121";"Instant Bookable";6119334
"122";"Host Has Profile Pic";5438029
"123";"Host Identity Verified";5438029
"124";"Is Location Exact";5438029
"125";"Requires License";5438029
"126";"Instant Bookable";5438029
"127";"Host Is Superhost";11343804
"128";"Host Has Profile Pic";11343804
"129";"Host Identity Verified";11343804
"130";"Is Location Exact";11343804
"131";"Requires License";11343804
"132";"Instant Bookable";11343804
"133";"Host Has Profile Pic";16168845
"134";"Host Identity Verified";16168845
"135";"Requires License";16168845
"136";"Instant Bookable";16168845
"137";"Host Has Profile Pic";8424079
"138";"Host Identity Verified";8424079
"139";"Is Location Exact";8424079
"140";"Requires License";8424079
"141";"Host Has Profile Pic";15142018
"142";"Host Identity Verified";15142018
"143";"Is Location Exact";15142018
"144";"Requires License";15142018
"145";"Instant Bookable";15142018
"146";"Host Has Profile Pic";712082
"147";"Host Identity Verified";712082
"148";"Is Location Exact";712082
"149";"Requires License";712082
"150";"Require Guest Profile Picture";712082
"151";"Require Guest Phone Verification";712082
"152";"Host Has Profile Pic";10595868
"153";"Requires License";10595868
"154";"Host Has Profile Pic";14172868
"155";"Is Location Exact";14172868
"156";"Requires License";14172868
"157";"Host Has Profile Pic";9450274
"158";"Requires License";9450274
"159";"Host Has Profile Pic";9292954
"160";"Host Identity Verified";9292954
"161";"Is Location Exact";9292954
"162";"Requires License";9292954
"163";"Host Has Profile Pic";7740638
"164";"Host Identity Verified";7740638
"165";"Requires License";7740638
"166";"Instant Bookable";7740638
"167";"Host Is Superhost";13898710
"168";"Host Has Profile Pic";13898710
"169";"Host Identity Verified";13898710
"170";"Is Location Exact";13898710
"171";"Requires License";13898710
"172";"Instant Bookable";13898710
"173";"Host Has Profile Pic";17146531
"174";"Is Location Exact";17146531
"175";"Requires License";17146531
"176";"Host Has Profile Pic";1617393
"177";"Host Identity Verified";1617393
"178";"Requires License";1617393
"179";"Host Has Profile Pic";752515
"180";"Host Identity Verified";752515
"181";"Is Location Exact";752515
"182";"Requires License";752515
"183";"Host Is Superhost";4208724
"184";"Host Has Profile Pic";4208724
"185";"Is Location Exact";4208724
"186";"Requires License";4208724
"187";"Host Has Profile Pic";7870142
"188";"Host Identity Verified";7870142
"189";"Requires License";7870142
"190";"Host Has Profile Pic";17243915
"191";"Host Identity Verified";17243915
"192";"Is Location Exact";17243915
"193";"Requires License";17243915
