ID;Host.Since;Neighbourhood.Group.Cleansed;City;Latitude;Longitude;Zipcode;Property.Type;Room.Type;Accommodates;Bathrooms;Bedrooms;Beds;Number.of.Reviews;Review.Scores.Rating;Reviews.per.Month;Cancellation.Policy;precio.total;Prom.Price.m2.2017;Wireless Internet;Kitchen;Heating;Essentials;Washer;TV;Elevator in building;Family/kid friendly;Iron;Hair dryer;Air conditioning;Laptop friendly workspace;Smoke detector;Wheelchair accessible;Lock on bedroom door;Free parking on premises
16064297;04/04/2016;Centro;Madrid;"40,42468319";"-3,69543567";28004;Apartment;Entire home/apt;7;"4,5";3;7;3;100;"0,87";strict;1565;3564;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE
14495975;08/08/2016;Hortaleza;Madrid;"40,45349719";"-3,613010229";28042;Apartment;Entire home/apt;16;"6,5";10;16;0;"91,60293384";"1,935054739";flexible;1450;2563;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE
6394264;27/04/2015;Salamanca;Madrid;"40,43425792";"-3,677496902";28006;Apartment;Entire home/apt;5;2;2;2;0;"91,60293384";"1,935054739";strict;1360;3935;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
2086594;25/01/2013;Retiro;Madrid;"40,40698106";"-3,675550552";28007;Apartment;Entire home/apt;8;5;4;4;22;88;"0,6";strict;1360;3404;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
13759991;27/04/2015;Salamanca;Madrid;"40,43522804";"-3,684499033";28006;Apartment;Entire home/apt;4;1;2;2;0;"91,60293384";"1,935054739";strict;1356;3935;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
16490785;11/11/2014;Salamanca;Madrid;"40,42500758";"-3,687863714";28001;Apartment;Entire home/apt;10;"4,5";5;8;10;100;"3,09";moderate;1290;3935;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE
4949149;12/06/2012;Centro;Madrid;"40,42247";"-3,696061752";28004;Apartment;Entire home/apt;6;2;3;3;25;100;1;strict;1280;3564;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
9639826;27/04/2015;Chamartín;Madrid;"40,46604743";"-3,67431987";28016;House;Entire home/apt;10;5;5;9;0;"91,60293384";"1,935054739";strict;1250;3663;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE
13647790;27/04/2015;Moncloa - Aravaca;Madrid;"40,46960358";"-3,736424148";28035;House;Entire home/apt;14;6;7;9;0;"91,60293384";"1,935054739";strict;1250;3029;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE
9644304;27/04/2015;Centro;Madrid;"40,42764926";"-3,698029855";28004;Apartment;Entire home/apt;4;1;2;4;0;"91,60293384";"1,935054739";strict;1230;3564;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
